src/components/collaboration/AgentWorkspace.vue(32,43): error TS2339: Property 'closest' does not exist on type 'EventTarget'.
src/components/collaboration/CollaborationResult.vue(3,52): error TS6196: 'AgentResult' is declared but never used.
src/components/collaboration/CollaborationResult.vue(17,7): error TS6133: 'showFullOutput' is declared but its value is never read.
src/components/collaboration/CollaborationResult.vue(416,92): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ success: { color: string; icon: string; }; running: { color: string; icon: string; }; error: { color: string; icon: string; }; completed: { color: string; icon: string; }; }'.
src/components/collaboration/CollaborationResult.vue(417,18): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ success: { color: string; icon: string; }; running: { color: string; icon: string; }; error: { color: string; icon: string; }; completed: { color: string; icon: string; }; }'.
src/components/collaboration/CommunicationPanel.vue(265,67): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/components/collaboration/TaskDistributor.vue(315,20): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/collaboration/TaskDistributor.vue(323,30): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/collaboration/TaskDistributor.vue(333,17): error TS7053: Element implicitly has an 'any' type because expression of type 'any' can't be used to index type '{ urgent: { color: string; label: string; }; high: { color: string; label: string; }; medium: { color: string; label: string; }; low: { color: string; label: string; }; }'.
src/components/collaboration/TaskDistributor.vue(346,20): error TS7053: Element implicitly has an 'any' type because expression of type 'any' can't be used to index type '{ urgent: { color: string; label: string; }; high: { color: string; label: string; }; medium: { color: string; label: string; }; low: { color: string; label: string; }; }'.
src/components/collaboration/TaskDistributor.vue(402,24): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/customize/AgentAnalytics.vue(122,46): error TS2339: Property 'value' does not exist on type '{ question: string; count: number; }'.
src/components/customize/AgentCreatorWizard.vue(8,21): error TS6133: 'avatarLibrary' is declared but its value is never read.
src/components/customize/AgentPreview.vue(3,63): error TS6133: 'avatarLibrary' is declared but its value is never read.
src/components/customize/AgentPreview.vue(126,72): error TS2591: Cannot find name 'require'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node` and then add 'node' to the types field in your tsconfig.
