src/components/collaboration/AgentWorkspace.vue(32,43): error TS2339: Property 'closest' does not exist on type 'EventTarget'.
src/components/collaboration/CollaborationResult.vue(415,92): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ success: { color: string; icon: string; }; running: { color: string; icon: string; }; error: { color: string; icon: string; }; completed: { color: string; icon: string; }; }'.
src/components/collaboration/CollaborationResult.vue(416,18): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ success: { color: string; icon: string; }; running: { color: string; icon: string; }; error: { color: string; icon: string; }; completed: { color: string; icon: string; }; }'.
src/components/collaboration/CommunicationPanel.vue(265,67): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/components/collaboration/TaskDistributor.vue(315,20): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/collaboration/TaskDistributor.vue(323,30): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/collaboration/TaskDistributor.vue(333,17): error TS7053: Element implicitly has an 'any' type because expression of type 'any' can't be used to index type '{ urgent: { color: string; label: string; }; high: { color: string; label: string; }; medium: { color: string; label: string; }; low: { color: string; label: string; }; }'.
src/components/collaboration/TaskDistributor.vue(346,20): error TS7053: Element implicitly has an 'any' type because expression of type 'any' can't be used to index type '{ urgent: { color: string; label: string; }; high: { color: string; label: string; }; medium: { color: string; label: string; }; low: { color: string; label: string; }; }'.
src/components/collaboration/TaskDistributor.vue(402,24): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ pending: { id: string; title: string; description: string; status: "error" | "pending" | "completed" | "cancelled" | "in_progress" | "paused"; priority: "low" | "medium" | "high" | "urgent"; ... 8 more ...; qualityScore?: number | undefined; }[]; in_progress: { ...; }[]; completed: { ...; }[]; }'.
src/components/customize/AgentAnalytics.vue(122,46): error TS2339: Property 'value' does not exist on type '{ question: string; count: number; }'.
src/components/customize/MyAgentsList.vue(86,7): error TS2451: Cannot redeclare block-scoped variable 'confirmDelete'.
src/components/customize/MyAgentsList.vue(102,7): error TS2451: Cannot redeclare block-scoped variable 'confirmDelete'.
src/components/customize/MyAgentsList.vue(223,41): error TS2554: Expected 0 arguments, but got 1.
src/components/lifestyle/LifestyleDashboard.vue(47,40): error TS2339: Property 'datasets' does not exist on type 'ComputedRef<{ labels: string[]; datasets: { label: string; data: number[]; color: string; }[]; }>'.
src/components/lifestyle/LifestyleDashboard.vue(47,57): error TS7006: Parameter 'd' implicitly has an 'any' type.
src/components/lifestyle/LifestyleDashboard.vue(88,59): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/LifestyleDashboard.vue(88,114): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/LifestyleDashboard.vue(88,170): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/TravelPlanner.vue(145,12): error TS2345: Argument of type '{ class: string; onClick: (_dayIndex?: number) => void; }' is not assignable to parameter of type 'ButtonHTMLAttributes & ReservedProps & Record<string, unknown>'.
src/components/marketplace/OrderManagement.vue(183,32): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/OrderManagement.vue(183,55): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/OrderManagement.vue(185,47): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/SellerCenter.vue(561,25): error TS2322: Type 'string' is not assignable to type '"digital" | "physical" | "service"'.
src/components/memory/FileManager.vue(258,63): error TS2345: Argument of type 'number | undefined' is not assignable to parameter of type 'number'.
src/components/memory/KnowledgeGraph.vue(330,61): error TS2532: Object is possibly 'undefined'.
src/components/memory/KnowledgeGraph.vue(331,61): error TS2532: Object is possibly 'undefined'.
src/components/memory/KnowledgeGraph.vue(416,65): error TS18047: '__VLS_ctx.selectedNode' is possibly 'null'.
src/components/memory/KnowledgeGraph.vue(416,97): error TS18047: '__VLS_ctx.selectedNode' is possibly 'null'.
src/components/memory/MemoryTimeline.vue(21,7): error TS6133: '_timelineRef' is declared but its value is never read.
src/components/memory/MemoryTimeline.vue(141,70): error TS2551: Property 'value' does not exist on type '"month" | "week" | "custom" | "today"'. Did you mean 'valueOf'?
src/components/memory/StorageQuota.vue(42,7): error TS6133: '_chartRef' is declared but its value is never read.
src/components/social/FriendsSystem.vue(118,55): error TS2551: Property 'value' does not exist on type '"friends" | "requests" | "groups"'. Did you mean 'valueOf'?
src/components/social/FriendsSystem.vue(265,17): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(272,52): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(279,64): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(291,53): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/NotificationPanel.vue(125,56): error TS2551: Property 'value' does not exist on type '"system" | "all" | "message" | "interaction"'. Did you mean 'valueOf'?
src/components/social/SocialFeed.vue(10,7): error TS6133: '_containerRef' is declared but its value is never read.
